ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-11-09,2040.2506059,1537.736422000905,2393.652364743644,2040.2506059,2040.2506059,-79.75898537638798,-79.75898537638798,-79.75898537638798,-79.75898537638798,-79.75898537638798,-79.75898537638798,0.0,0.0,0.0,1960.491620523612
2023-11-10,2040.793058653245,1552.3373298700426,2406.468427990107,2040.793058653245,2040.793058653245,-69.99523354334607,-69.99523354334607,-69.99523354334607,-69.99523354334607,-69.99523354334607,-69.99523354334607,0.0,0.0,0.0,1970.797825109899
2023-11-11,2041.33551140649,1636.1148854276744,2474.916590634157,2041.33551140649,2041.33551140649,10.242979031699944,10.242979031699944,10.242979031699944,10.242979031699944,10.242979031699944,10.242979031699944,0.0,0.0,0.0,2051.57849043819
2023-11-12,2041.877964159735,1773.7235394934494,2630.8783588916995,2041.877964159735,2041.877964159735,168.2708017556009,168.2708017556009,168.2708017556009,168.2708017556009,168.2708017556009,168.2708017556009,0.0,0.0,0.0,2210.148765915336
2023-11-13,2042.4204169129798,1409.711404001575,2290.731422812919,2042.4204169129798,2042.4204169129798,-190.15030759338666,-190.15030759338666,-190.15030759338666,-190.15030759338666,-190.15030759338666,-190.15030759338666,0.0,0.0,0.0,1852.270109319593
2023-11-14,2042.962869666225,1712.4370134031046,2582.9413982925325,2042.962869666225,2042.962869666225,76.49658472223756,76.49658472223756,76.49658472223756,76.49658472223756,76.49658472223756,76.49658472223756,0.0,0.0,0.0,2119.4594543884627
2023-11-15,2043.5053224166106,1691.2336311055433,2559.108494092622,2043.5053224166106,2043.5053224166106,84.89416100475098,84.89416100475098,84.89416100475098,84.89416100475098,84.89416100475098,84.89416100475098,0.0,0.0,0.0,2128.3994834213618
2023-11-16,2044.0477751669962,1503.8561646064943,2398.190750241171,2044.0477751669962,2044.0477751669962,-79.75898537670368,-79.75898537670368,-79.75898537670368,-79.75898537670368,-79.75898537670368,-79.75898537670368,0.0,0.0,0.0,1964.2887897902924
2023-11-17,2044.5902279173815,1559.559042793603,2433.9974665882874,2044.5902279173815,2044.5902279173815,-69.9952335437005,-69.9952335437005,-69.9952335437005,-69.9952335437005,-69.9952335437005,-69.9952335437005,0.0,0.0,0.0,1974.594994373681
2023-11-18,2045.132680667767,1648.0337907256687,2470.7182810640415,2045.132680667767,2045.132680667767,10.242979031736454,10.242979031736454,10.242979031736454,10.242979031736454,10.242979031736454,10.242979031736454,0.0,0.0,0.0,2055.3756596995036
2023-11-19,2045.6751334181527,1729.2083682905268,2639.1539755645954,2045.6751334181527,2045.6751334181527,168.27080175539967,168.27080175539967,168.27080175539967,168.27080175539967,168.27080175539967,168.27080175539967,0.0,0.0,0.0,2213.9459351735522
2023-11-20,2046.2175856521728,1412.9274903230498,2254.1700344463356,2046.2175856521728,2046.2175856521728,-190.15030759336253,-190.15030759336253,-190.15030759336253,-190.15030759336253,-190.15030759336253,-190.15030759336253,0.0,0.0,0.0,1856.0672780588102
